SpanishData|BullyingLabel
favorito canción me gusta muchos canciones favorito|0.0
3 / 3 jk 33|0.0
quot oye ángel duh sexy quot de verdad gracias|0.0
|0.0
****************** meowww ************************* * rawr *|0.0
maquillaje consejos chupar maquillaje jajaja por supuesto me gusta contar wht tu wnna saber me gusta wht utilizar|0.0
apriiiiiiiiiiiill pierda uuuu emma por cierto emma jajajaja missssseddd yuhhhhh 222222 33333|0.0
confiando persona alreadi answrd|0.0
confiando persona si veryy confiar en persona mayo ayuda yuh|0.0
truace mejor amigos jajaja si curso no es dat rito truace increíble aunque bck jajaja jk|0.0
yuh soltero listo 2 mezclarse jajaja sip pero pase a ver 4 4 hombre rito cajero automático chuz dey 2much drama|0.0
pedir alguna cosa|0.0
bahahahaha .tomó más suficiente pags gees niña jaja totalmente bueno querido jugar adivinar jajaja..i jodido amor 3 jajajajajajajaja ikrr soy lento americano wht decir lmfaoo jajaja 333 aww jajaja|0.0
bahahahahhaha pags lmaoo|0.0
perra tu el e bomba me gusta garrapata garrapata jaja gracias|1.0
por favor canta cubrir justin bieber canción jajaja no canta jajaja srry soy horrible por cierto dedicar quot sonrisa quot 2 yuh jugando|0.0
gatos perros perros soy alérgico 2 gatos =|0.0
seguro cierto aprender 5 5 años porque frensh orígenes ahhh guau 5 años hombre maravilloso idioma amor primero año aprender novato|0.0
tu reloj bieber oprah bien algo tiene 2 wtch el e caridad parte ella es increíble 3 hbu|0.0
creer suerte si pero pensar suerte bendición dios realmente opinión|0.0
considerar bueno bailarín jajaja perra traer lmao un poco pensar lmao hve negro si|0.0
bf no pero bf no media mundo termina adivinar soy esperando 4 4 1 ya kno hbu mamas|0.0
favorito youtube estrella 2 realmente justin bieber por supuesto amperio amperio escipión mondai|0.0
recuerdos me gusta olvidar realmente todo experiencia falso amigo / 3|1.0
piercings yuppers nariz cartílago piercings|0.0
cicatrices cuerpo obtener jajaja extraño|0.0
me gusta atlanta georgia si amor atl estupendo sitio 2 en vivo deseo vivió|0.0
pensar talla 10 grasa molesto talla 5 5 final año. dios mio camino 10 realmente pequeña cambio el e camino mira 4 4 nadie pero tuyo kay|0.0
reloj americano ídolo votación temporada awww hombre recordó wtch algunas veces pero amor grande miguel pplz de verdad incorrecto combate dejando katie vamos argh|0.0
escucha los que odian bonita gracias gurl / chico de verdad apreciar 33|0.0
favorito tienda cajero automático ruda 21 por siempre 21 3|0.0
mierda justin bieber maldito maricón um excusa yuh tu maldito idiota kay bueno|1.0
gruñido maullido eso palabra 3|0.0
conjetura no sé azada obtener cha taza mora insinuación limón hielo té dayumm jaja jk brooke|0.0
-haa adivinado righhtttt dr maryyyy ahhh ilovee imagen mayb porque youhr bebé 3 courrseeee amigo jajajajaja awhhh jajaja pensar amor 2 chuz soy jajaja jk amor yuh|0.0
haaa qud lo siento sobre quot azada quot thinq yo era enojado jajaja lmfao nahh badd|0.0
entonces.. tu siempre francia pfftt nahhh hve nunca fuera de país argh hve yuh|0.0
cheque dentro tu armario tu mente encontrar lmao kk lem obtener culo toliet asiento enfermo cheque mwahah jk|0.0
no soy taquisha ya sea .yo hablar mucho gorjeo 3 dios mio contar ughh grrr rawrr bianca lmao idkk contar|0.0
jaja bueno dokey ..dulce thang mwahaha dulce thang amor|0.0
jaja gracioso tu defender beiber niño. amperio además gracioso tu acechado todo gorjeo bonito entra perra|1.0
jajaja no uhhhhh dios mio taquisha jajaja|0.0
tu siempre lamió el e suelo jajaja.. sip trabajo|1.0
roto huesos nahh he fracturado pulgares pero itz bueno jajaja|0.0
siempre itellyouthat.com vamos contar alguna cosa mundo jaja ohkay|0.0
siempre corazón roto sip sip pags|0.0
jeje sip increíble pronunciación increíblemente haaard jajaja hombre hvnt incluso conseguido 2 dat parte todavía fml ja|0.0
hola perra tu día yendo bueno esperanza hermoso soleado ohh oye perra entra bueno.. gracias 4 4 preguntando|1.0
hola oye como yah mamá|1.0
oye nombre abril personas llamado abril siempre frio jajaja jajaja ohh frio espere yuh el e abril gorjeo 2 de abril hurra ganado yo haa|0.0
oye asombroso bonito dulce chica guapa awwhhh gracias yuh jacob tu de verdad bonito podría nuevo mejor amiga 33 gracias yuh mucho|0.0
oye perra gracias yuh|1.0
heyyy abrilll iloveyhuuu 3 muchooo oye marribbbiii lmao iloveyuhhh muchooo moeee yuh entra tmrw|0.0
heyyyyyyyy wats oye ghurrr wuzz upp nuttin mucho ocupado hbu|0.0
hola abril oye|0.0
haría describir personalidad hmmm personal raíz palabra.. jajaja umm problemas burbujeante bonito honesto sumtyms|0.0
haría describir 3 palabras burbujeante gracioso|0.0
amor cabello. te quiero gracias mucho pero mucho 2 mantener ingenio pálido n / a comercio|0.0
amor youu chica 33 amor youuu moreee 333|1.0
amor youuuuuuu ifuckinloveyou 33 xox decir ah|0.0
hablar inglés frensh pequeño arábica porque egipto lotta veces dios mio de verdad frio eso es increíble si pálido n / a aprender idiomas pero francés ya enuff 2 acuerdo ingenio decir ah|0.0
pensar tu bonita lo siento. oh eso es wht pensar dnt lo siento jajaja tonto ganso|0.0
aburrido contar alguna cosa gracioso lool jaja ohhkayy jajaja wht llamada ciervo ojos ideer clásico umm chupar|0.0
tu en vivo siempre wat tu en vivo idkkk dios entender srry me gusta 3am ja|0.0
podría pedir barack obama uno pregunta haría oh chasquido haría realmente abrazo primero ah ah decir quot nigga hierba vamos quot jajaja jkjkjk amor doin estupendo trabajo|0.0
podría pedir jorge w. arbusto uno pregunta haría solitario chico|0.0
podría estrella atleta deporte deporte haría recoger baloncesto 3|0.0
podría invitado uno persona cumpleaños fiesta cuyo haría justin bieber bday parrtayy|1.0
podría cambio nombre haría cambio eso es difícil 1 * pensando * tal vez bustin jieber pensar|0.0
podría fecha celebridad haría justin bieber channing tatum yumm|0.0
podría comer cena persona muerto viva haría haría vamos miguel jacko subterraneo doh|0.0
podría eliminar uno cosa día baño nunca haría poner toallas espalda fckn estante jajaja soy 2 perezoso 2 pero mira baja calidad mantener tha suelo|0.0
podría vamos espalda hora 10 años contar mas joven yo alguna cosa haría vida nunca yendo fácil|0.0
podría vamos la carretera viaje persona muerto viva haría haría vamos justin bieber.duh amperio amperio rusia|0.0
podría vamos vacaciones siguiente mes ilimitado presupuesto haría vamos haría viajar el e mundo visitar de ultramar mejores amigos tienda en todas partes 3|0.0
podría sin fin suministro comida haría obtener fresa plátano batidos jack caja yah cavar|0.0
podría autor libro haría el e crepúsculo libros chuz tiene bueno mula bebé|0.0
podría hacer uno persona otoño amor haría ortodoncista docotr jajajaja jkjk lmao|0.0
podría maestro uno habilidad haría nunca pecado pero nunca suceder ver soy ya pecando nunca decir nunca|0.0
podría leer uno revista descanso vida haría mmmag amor|0.0
podría eliminar mundo uno cosa haría azada jajaja um problema estúpido perras pecado pecó opppzz|0.0
podría despertar nadie mañana haría|0.0
cocinar cena alguien esta noche haría hacer umm haría vamos jack-in-the-box|0.0
dar uno favorito comida haría difícil chocolate|0.0
realizar circo truco haría leer tres fingas|1.0
hablar show haría primero tres invitados justin bieber demi lovato barack obama babay|0.0
1 000 compras juerga tienda tienda haría recoger manzana tienda necesitar mac pro|0.0
casa fuego podría agarrar tres cosas haría ordenador portátil perros familia zapatos cama ropa café fabricante horno lavadora amperio secadora refrigerador mesa amperio sillas fotos cámara bañera tina jajajajajajajaja|0.0
amo nariz anillo awhh amor tu pendientes|0.0
-ilovee youuu bestfranhdd haa conjetura whooo ilovee maryyy rosseeee hickkksss jajaja|1.0
ily ily2 abucheo|0.0
soy bueno juz tiene bak rasgar vegas increíble amado hav tu evah vegas awhh yuh suerte ghurr apuesta yuh explosión amperio nahh he nunca pero haría soo querer vamos|0.0
truace soltero yesssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss 4 4 theee lasttt timeee pedir http //www.formspring.me/truace|0.0
justin bieber conducción profesor oohh si ..bahah gon n / a todo más en lugar enseñando conducir lmao jajajaja enseña en tu palanca de cambios mwhahahahahaha llalala amor mejor frann|1.0
jajaja oo ..guurrrl tu debe loco ..antes de cristo amor tu muchoo uhhh lmao tu tiene lmao jkjk vamos 4 4 me gusta eva lezzzdoooittt amor yo mamá ahha|0.0
amor youu sexy thang mwahaha gracias yuh meh sexy perra|1.0
mammaasss vamos skype yoooooooooooooo tarde iglesia tmrw pero pronto kay srry|0.0
miley amperio bieber miley hoochie bieber el e camino ghurl chico 33|0.0
no soy bianca ya sea heres pista ven nuevo zelanda jajaja chrisssy jajajaja chantelle alesha kailee tori lmfao iddkkkkk|0.0
nopeee nombre empieza si omfg nooo wayyyy ughhh broookkkeeeee omfg soy soo srry lmao un montón pplz r frmh zew zelanda lmao fukkinnn luvv yuhhhh jajaja|0.0
oh visitar viajar mundo kthxbye xx jaja helllz si mamas 3 amor tu|0.0
velocidad tu mismo amor justin bieber 1000000000+ 1-10 escala decir ah|0.0
cerrar tu bastante ..ll cerrar más bonita 33|0.0
taaaan srry tarde soy juzz doin mothur maldito aburrido zzzzzz zzzz ronquido ronquido lmbo jajajajaja ohh noo problema mamas ah ah me2 soy soo agotado *bostezo* * ywan * lmao|0.0
niña antecedentes fondo correcto mano esquina mira me gusta anna maria perez delaware tagle aww sih mejor amigo raphaela alemán adivinar eso lmao 3|0.0
tht woul si frio tu tu ikrr wud increíble deseo|0.0
wat estado tu en vivo texas amperio yuh huno xox|0.0
